Microcuenca,Anio,Estado,Municipio,NomAgente,NomGenero,NomEspecie,NombreComun,AfectacionArborea,AfectacionRepoblado,Activo
Laguna Salada,2012,Baja California,Ensenada,Descortezador,Desconocido,sp.,Desconocido,20,0,SI
Laguna Salada,2012,Baja California,Ensenada,Descortezador,Desconocido,sp.,Desconocido,20,0,SI
Laguna Salada,2012,Baja California,Ensenada,Descortezador,Desconocido,sp.,Desconocido,20,0,SI
Laguna Salada,2012,Baja California,Ensenada,Descortezador,Desconocido,sp.,Desconocido,20,0,SI
Laguna Salada,2010,Baja California,Ensenada,Muérdago,Phoradendron,bolleanum,Toji,10,0,SI
Laguna Salada,2010,Baja California,Ensenada,Muérdago,Phoradendron,bolleanum,Toji,10,0,SI
Laguna Salada,2010,Baja California,Ensenada,Muérdago,Phoradendron,bolleanum,Toji,10,0,SI
Laguna Salada,2010,Baja California,Ensenada,Muérdago,Phoradendron,bolleanum,Toji,10,0,SI
Arroyo Grande,2011,Baja California,Ensenada,Muérdago,Phoradendron,bolleanum,Toji,10,0,SI
Arroyo Grande,2011,Baja California,Ensenada,Muérdago,Phoradendron,bolleanum,Toji,10,0,SI
Arroyo Grande,2011,Baja California,Ensenada,Muérdago,Phoradendron,bolleanum,Toji,10,0,SI
Arroyo Grande,2011,Baja California,Ensenada,Muérdago,Phoradendron,bolleanum,Toji,10,0,SI
CUITACA,2013,Sonora,Arizpe,Descortezador,Desconocido,sp.,Descortezador,20,5,SI
CUITACA,2013,Sonora,Arizpe,Descortezador,Desconocido,sp.,Descortezador,20,5,SI
CUITACA,2013,Sonora,Arizpe,Descortezador,Desconocido,sp.,Descortezador,20,5,SI
CUITACA,2013,Sonora,Arizpe,Descortezador,Desconocido,sp.,Descortezador,20,5,SI
EL ALAMO,2011,Sonora,Arizpe,Muérdago,Phoradendron,sp.,Toji,1,0,SI
EL ALAMO,2011,Sonora,Arizpe,Muérdago,Phoradendron,sp.,Toji,1,0,SI
EL ALAMO,2011,Sonora,Arizpe,Muérdago,Phoradendron,sp.,Toji,1,0,SI
EL ALAMO,2011,Sonora,Arizpe,Muérdago,Phoradendron,sp.,Toji,1,0,SI
COLONIA MEXICO,2012,Chihuahua,Janos,Muérdago,Phoradendron,sp.,Muerdago,1,0,SI
COLONIA MEXICO,2012,Chihuahua,Janos,Muérdago,Phoradendron,sp.,Muerdago,1,0,SI
COLONIA MEXICO,2012,Chihuahua,Janos,Muérdago,Phoradendron,sp.,Muerdago,1,0,SI
COLONIA MEXICO,2012,Chihuahua,Janos,Muérdago,Phoradendron,sp.,Muerdago,1,0,SI
MONTE VERDE (ALTAMIRA),2013,Chihuahua,Janos,Muerdago,Phoradendron,sp.,muerdago,4,1,SI
MONTE VERDE (ALTAMIRA),2013,Chihuahua,Janos,Muerdago,Phoradendron,sp.,muerdago,4,1,SI
MONTE VERDE (ALTAMIRA),2013,Chihuahua,Janos,Muerdago,Phoradendron,sp.,muerdago,4,1,SI
MONTE VERDE (ALTAMIRA),2013,Chihuahua,Janos,Muerdago,Phoradendron,sp.,muerdago,4,1,SI
TRES ALAMOS,2010,Chihuahua,Janos,Muérdago,Arceuthobium,sp.,Muerdago,8,3,SI
TRES ALAMOS,2010,Chihuahua,Janos,Muérdago,Arceuthobium,sp.,Muerdago,8,3,SI
TRES ALAMOS,2010,Chihuahua,Janos,Muérdago,Arceuthobium,sp.,Muerdago,8,3,SI
TRES ALAMOS,2010,Chihuahua,Janos,Muérdago,Arceuthobium,sp.,Muerdago,8,3,SI
MONTE VERDE (ALTAMIRA),2011,Sonora,Bacerac,Muérdago,Phoradendron,sp.,Toji.,1,0,SI
MONTE VERDE (ALTAMIRA),2011,Sonora,Bacerac,Muérdago,Phoradendron,sp.,Toji.,1,0,SI
MONTE VERDE (ALTAMIRA),2011,Sonora,Bacerac,Muérdago,Phoradendron,sp.,Toji.,1,0,SI
MONTE VERDE (ALTAMIRA),2011,Sonora,Bacerac,Muérdago,Phoradendron,sp.,Toji.,1,0,SI
TRES ALAMOS,2012,Chihuahua,Janos,Descortezador,Desconocido,sp.,Descortezador,8,0,SI
TRES ALAMOS,2012,Chihuahua,Janos,Descortezador,Desconocido,sp.,Descortezador,8,0,SI
TRES ALAMOS,2012,Chihuahua,Janos,Descortezador,Desconocido,sp.,Descortezador,8,0,SI
TRES ALAMOS,2012,Chihuahua,Janos,Descortezador,Desconocido,sp.,Descortezador,8,0,SI
08-021-02-043,2010,Sonora,Benjamin Hill,Muérdago,Phoradendron,californicum,Toji,45,1,SI
08-021-02-043,2010,Sonora,Benjamin Hill,Muérdago,Phoradendron,californicum,Toji,45,1,SI
08-021-02-043,2010,Sonora,Benjamin Hill,Muérdago,Phoradendron,californicum,Toji,45,1,SI
08-021-02-043,2010,Sonora,Benjamin Hill,Muérdago,Phoradendron,californicum,Toji,45,1,SI
EL ABANICO,2014,Sonora,Huasabas,Defoliador,Desconocido,sp.,gusano,20,0,SI
EL ABANICO,2014,Sonora,Huasabas,Defoliador,Desconocido,sp.,gusano,20,0,SI
EL ABANICO,2014,Sonora,Huasabas,Defoliador,Desconocido,sp.,gusano,20,0,SI
EL ABANICO,2014,Sonora,Huasabas,Defoliador,Desconocido,sp.,gusano,20,0,SI
34-137-04-027,2012,Chihuahua,Casas Grandes,Barrenador,Desconocido,sp.,Barrenador,25,5,SI
34-137-04-027,2012,Chihuahua,Casas Grandes,Barrenador,Desconocido,sp.,Barrenador,25,5,SI
34-137-04-027,2012,Chihuahua,Casas Grandes,Barrenador,Desconocido,sp.,Barrenador,25,5,SI
34-137-04-027,2012,Chihuahua,Casas Grandes,Barrenador,Desconocido,sp.,Barrenador,25,5,SI
34-137-04-027,2012,Chihuahua,Casas Grandes,Descortezador,Dendroctonus,sp.,Descortezador,2,0,SI
34-137-04-027,2012,Chihuahua,Casas Grandes,Descortezador,Dendroctonus,sp.,Descortezador,2,0,SI
34-137-04-027,2012,Chihuahua,Casas Grandes,Descortezador,Dendroctonus,sp.,Descortezador,2,0,SI
34-137-04-027,2012,Chihuahua,Casas Grandes,Descortezador,Dendroctonus,sp.,Descortezador,2,0,SI
CASAS GRANDES,2010,Chihuahua,Casas Grandes,Muérdago,Arceuthobium,sp.,Muerdago,15,0,SI
CASAS GRANDES,2010,Chihuahua,Casas Grandes,Muérdago,Arceuthobium,sp.,Muerdago,15,0,SI
CASAS GRANDES,2010,Chihuahua,Casas Grandes,Muérdago,Arceuthobium,sp.,Muerdago,15,0,SI
CASAS GRANDES,2010,Chihuahua,Casas Grandes,Muérdago,Arceuthobium,sp.,Muerdago,15,0,SI
09-023-01-048,2013,Sonora,San Felipe de Jesus,Descortezador,Desconocido,sp.,Descortezador,5,0,NO
09-023-01-048,2013,Sonora,San Felipe de Jesus,Descortezador,Desconocido,sp.,Descortezador,5,0,NO
09-023-01-048,2013,Sonora,San Felipe de Jesus,Descortezador,Desconocido,sp.,Descortezador,5,0,NO
09-023-01-048,2013,Sonora,San Felipe de Jesus,Descortezador,Desconocido,sp.,Descortezador,5,0,NO
09-023-01-048,2013,Sonora,San Felipe de Jesus,Muerdago,Phoradendron,sp.,Muerdago,5,0,NO
09-023-01-048,2013,Sonora,San Felipe de Jesus,Muerdago,Phoradendron,sp.,Muerdago,5,0,NO
09-023-01-048,2013,Sonora,San Felipe de Jesus,Muerdago,Phoradendron,sp.,Muerdago,5,0,NO
09-023-01-048,2013,Sonora,San Felipe de Jesus,Muerdago,Phoradendron,sp.,Muerdago,5,0,NO
SECCION EL ORO,2013,Sonora,Nacori Chico,Descortezador,Desconocido,sp.,Destoconador,3,0,SI
SECCION EL ORO,2013,Sonora,Nacori Chico,Descortezador,Desconocido,sp.,Destoconador,3,0,SI
